net,mu,bwd,k,D_cfg,T,T_max,acl
NN4,1,T,1,1e-06,0.0001690476226916572,0.00016904762269165724,"[64, 63, 64, 49, 63, 32, 1]"
NN4,1,T,4,1e-09,0.0001551443285740102,0.0001551443285740102,"[64, 63, 64, 49, 63, 32, 1]"
NN4,1,T,4,1e-08,0.0001552523285740102,0.0001552523285740102,"[64, 63, 64, 49, 63, 32, 1]"
NN4,1,T,4,1e-07,0.0001563323285740102,0.00015633232857401017,"[64, 63, 64, 49, 63, 32, 1]"
NN4,1,T,4,1e-06,0.0001671323285740102,0.0001671323285740102,"[64, 63, 64, 49, 63, 32, 1]"
NN4,8,R,1,1e-09,0.0006584634813162102,0.0006603270107279749,"[64, 63, 51, 49, 63, 32, 1]"
NN4,8,R,1,1e-08,0.0006585714813162101,0.0006604350107279748,"[64, 63, 51, 49, 63, 32, 1]"
NN4,8,R,1,1e-07,0.0006596514813162101,0.0006615150107279748,"[64, 63, 51, 49, 63, 32, 1]"
NN4,8,R,1,1e-06,0.0006704514813162102,0.0006723150107279749,"[64, 63, 51, 49, 63, 32, 1]"
NN4,8,R,4,1e-09,0.0005077893636691512,0.0005082552460220924,"[64, 63, 51, 49, 63, 32, 1]"
NN4,8,R,4,1e-08,0.0005078973636691512,0.0005083632460220925,"[64, 63, 51, 49, 63, 32, 1]"
NN4,8,R,4,1e-07,0.0005089773636691513,0.0005094432460220925,"[64, 64, 51, 49, 63, 32, 1]"
NN4,8,R,4,1e-06,0.0005197773636691512,0.0005202432460220925,"[64, 63, 51, 49, 63, 32, 1]"
NN4,8,T,1,1e-09,0.0005176043735111586,0.0005176043735111585,"[64, 63, 64, 49, 63, 32, 1]"
NN4,8,T,1,1e-08,0.0005177123735111586,0.0005177123735111586,"[64, 63, 64, 49, 63, 32, 1]"
NN4,8,T,1,1e-07,0.0005187923735111585,0.0005187923735111584,"[64, 63, 64, 49, 63, 32, 1]"
NN4,8,T,1,1e-06,0.0005295923735111585,0.0005295923735111585,"[64, 63, 64, 49, 63, 32, 1]"
NN4,8,T,4,1e-09,0.0005022496676288057,0.0005022496676288056,"[64, 63, 64, 49, 63, 32, 1]"
NN4,8,T,4,1e-08,0.0005023576676288055,0.0005023576676288056,"[64, 63, 64, 49, 63, 32, 1]"
NN4,8,T,4,1e-07,0.0005034376676288056,0.0005034376676288056,"[64, 63, 64, 49, 63, 32, 1]"
NN4,8,T,4,1e-06,0.0005142376676288055,0.0005142376676288055,"[64, 63, 64, 49, 63, 32, 1]"
NN4,16,R,1,1e-09,0.0012043400801189238,0.0012080671389424532,"[64, 63, 51, 49, 63, 32, 1]"
NN4,16,R,1,1e-08,0.0012044480801189238,0.0012081751389424532,"[64, 63, 51, 49, 63, 32, 1]"
NN4,16,R,1,1e-07,0.0012055280801189238,0.0012092551389424533,"[64, 63, 51, 49, 63, 32, 1]"
NN4,16,R,1,1e-06,0.001216328080118924,0.0012200551389424533,"[64, 63, 51, 49, 63, 32, 1]"
NN4,16,R,4,1e-09,0.000902991844824806,0.0009039236095306886,"[64, 63, 51, 49, 63, 32, 1]"
NN4,16,R,4,1e-08,0.0009030998448248062,0.0009040316095306885,"[64, 63, 51, 49, 63, 32, 1]"
NN4,16,R,4,1e-07,0.0009041798448248062,0.0009051116095306885,"[64, 63, 51, 49, 63, 32, 1]"
NN4,16,R,4,1e-06,0.0009149798448248062,0.0009159116095306884,"[64, 63, 51, 49, 63, 32, 1]"
NN4,16,T,1,1e-09,0.0009096386523319446,0.0009096386523319445,"[64, 63, 64, 49, 63, 32, 1]"
