net,mu,lam,bwd,param,value,alloc,T,comm_share,T_max,T_200,T_bestfix,u_bestfix,T_RI
NN2,32,64,T,C,24000000000.0,"[750, 784, 1000, 500, 10]",5.994839612696681e-05,0.10684849872214419,6.000955749994179e-05,0.0001906067210427884,6.000955749994179e-05,1000,6.000955749994179e-05
NN2,32,64,T,B_lam,10000000000.0,"[750, 784, 1000, 500, 10]",0.000761858827566475,0.028587335325093794,0.00076191998893945,0.0013190350043207945,0.00076191998893945,1000,0.00076191998893945
NN2,32,64,T,B_lam,40000000000.0,"[750, 784, 1000, 500, 10]",0.0007464847099194162,0.008580746587104613,0.0007465458712923911,0.0013002444160855001,0.0007465458712923911,1000,0.0007465458712923911
NN2,32,64,T,ser2,2,"[750, 784, 1000, 500, 10]",0.0007422917687429455,0.002980573197306177,0.0007423529301159205,0.0012951197102031473,0.0007423529301159205,1000,0.0007423529301159205
NN6,1,8,R,D_cfg,1e-09,"[1000, 168, 223, 167, 223, 167, 223, 5]",0.0010235487422998143,0.5406412347958224,0.0033098556259801874,0.001139558415353488,0.0010995503157563095,167,0.0010639850427879365
NN6,1,8,R,D_cfg,1e-08,"[1000, 168, 223, 167, 223, 167, 223, 5]",0.0010273287422998142,0.5423314202846317,0.003324498625980182,0.0011425014153534881,0.0011020253157563095,167,0.0010674767539485175
NN6,1,8,R,D_cfg,1e-07,"[667, 168, 223, 167, 223, 167, 223, 5]",0.0010641401644734458,0.5550451536638538,0.003470928625980179,0.001171931415353488,0.0011267753157563096,167,0.0010870087418900637
NN6,1,8,R,D_cfg,1e-06,"[223, 112, 152, 112, 152, 112, 152, 5]",0.0013270291777408676,0.4518089312890695,0.004935228625980174,0.001466231415353488,0.0013742753157563094,167,0.0013780942827738717
NN6,1,8,R,C,6000000000.0,"[1000, 72, 160, 72, 160, 72, 160, 5]",0.000625456453898563,0.4548064358312046,0.0031164547229593485,0.0008132018680031566,0.0006888668168141639,112,0.0006533469017521076
NN6,1,8,R,C,1500000000.0,"[1000, 168, 334, 167, 334, 167, 334, 10]",0.001254643284349653,0.5046544242875005,0.0032483232229593485,0.0013785303680031568,0.0013785303680031568,200,0.0013305125950787144
NN6,1,8,R,C,24000000000.0,"[667, 40, 80, 40, 80, 40, 80, 5]",0.0003115691436550729,0.5024600911541217,0.0030834875979593485,0.0006718697430031566,0.00034927681491634755,56,0.0003376777133327839
NN6,1,8,R,B_lam,10000000000.0,"[1000, 56, 80, 56, 80, 56, 80, 5]",0.001909851712254139,0.4054112400098954,0.012468614214215492,0.003004138180059371,0.0020551660294454038,72,0.0020253558632201737
